time,total,signal
925,2584.477502420415,
926,2560.4841734329375,
927,2570.3902480053703,
928,2573.070658355714,
929,2577.2634580365407,
930,2560.6874894085904,
931,2572.280966263984,
932,2581.1302071683913,
933,2600.0599051916097,
934,2593.019449196654,
935,2594.363328753552,
936,2601.0178576382827,
937,2603.4919212220602,
938,2624.5182256055405,
939,2624.609972485639,
940,2624.1573836216644,
941,2604.94667214179,
942,2591.7989078878218,
943,2573.2839248650703,
944,2599.9596070880375,
945,2798.053947456727,
946,2799.423506372011,
947,2874.5865728123645,
948,2874.5865728123645,
949,2874.5865728123645,
950,2874.5865728123645,
951,2874.5865728123645,
952,2874.5865728123645,
953,2874.5865728123645,
954,2874.5865728123645,
955,2874.5865728123645,
956,2874.5865728123645,
957,2871.713422814551,
958,2860.1482529773666,
959,2891.5219438872705,
960,2894.805052478584,
961,2893.012493989598,
962,2872.2977695034,
963,2875.4008946395984,
964,2886.724143809778,
965,2872.2230691414047,
966,2865.4161613008073,
967,2872.5088128636517,
968,2874.6569783508635,
969,2879.3947449660577,
970,2895.2656730764425,
971,2891.4769103924,
972,2893.3916582473685,
973,2895.6497380424253,
974,2900.223943459368,
975,2896.4166852136786,
976,2893.6575938728497,
977,2914.531963778153,
978,2910.7604415090364,
979,2924.9613338832582,
980,2909.332045860973,
981,2909.732100873847,
982,2919.203630677997,
983,2919.450274307006,
984,2914.840760289022,
985,2901.203896602761,
986,2901.1735542637252,
987,2910.8995435913407,
988,2909.9157823524274,
989,2890.1834795318223,
990,2892.8554638583364,
991,2897.4183365530125,
992,2906.4528412255386,
993,2923.1970024538527,
994,2923.9686848803335,
995,2939.9582818285494,
996,2986.554368080122,
997,2986.554368080122,
998,2986.554368080122,
999,2986.554368080122,
1000,2986.554368080122,
1001,2986.554368080122,
1002,2986.554368080122,
1003,2983.569306242961,
1004,3004.2810818054854,
1005,3025.5893316152333,
1006,2999.74980278901,
1007,2995.8953609449745,
1008,2988.208233041908,
1009,2938.186113192057,
1010,2913.77326459933,
1011,2918.011642613589,
1012,2918.011642613589,
1013,2918.011642613589,
1014,2915.095089247659,
1015,2944.835411752716,
1016,2934.6052408412206,
1017,2953.782567299948,
1018,2924.3162846940972,
1019,2915.4852311179015,
1020,2907.440963270293,
1021,2900.421514770366,
1022,2799.785535592521,
1023,2796.9871492500997,
1024,2796.392622943764,
1025,2822.1363934012634,
1026,2812.306790561076,
1027,2783.6078621402066,
1028,2840.851715467299,
1029,2824.6193801884697,
1030,2828.6217574794637,
1031,2850.754447092444,
1032,2848.5169345688787,
1033,2836.195728798786,
1034,2845.7348784434707,
1035,2841.69598371888,
1036,2839.2120952326554,
1037,2853.4941457562377,
1038,2843.609207285258,
1039,2889.1387344336404,
1040,2877.500601603745,
1041,2923.9918175243015,
1042,2923.9918175243015,
1043,2923.9918175243015,
1044,2923.9918175243015,
1045,2921.069286972054,
1046,2951.8981704188013,
1047,2945.306013933632,
1048,2957.6836814301632,
1049,2954.370504414419,
1050,2953.7859929406723,
1051,2934.7117357944117,
1052,2930.2721724262424,
1053,2939.9534767196933,
1054,2957.581884076488,
1055,2974.0969175269743,
1056,2962.0815536846126,
1057,2944.5824048064915,
1058,2940.1432691362666,
1059,2950.946826723155,
1060,2947.4746482794644,
1061,2940.7386846415015,
1062,2960.7470138726476,
1063,2964.357073896273,
1064,2950.6097178930063,
1065,2962.348998769591,
1066,2988.1424626732787,
1067,2988.1424626732787,
